date,total_transactions,missing_percent,anomaly_count,drift_score,alert
2023-01-01 00:00:00,118,0.71,1,1.04,Healthy
2023-01-02 00:00:00,151,3.05,2,127.75,Drift Detected
2023-01-03 00:00:00,131,0.29,2,20.51,Healthy
2023-01-04 00:00:00,136,0.37,1,27.28,Healthy
2023-01-05 00:00:00,149,0.24,0,13.5,Healthy
2023-01-06 00:00:00,119,0.5,0,134.0,Drift Detected
2023-01-07 00:00:00,111,1.12,2,13.22,Healthy
2023-01-08 00:00:00,111,0.9,3,15.36,Healthy
2023-01-09 00:00:00,135,1.05,3,2.08,Healthy
2023-01-10 00:00:00,134,0.86,13,236.1,Anomaly + Drift
2023-01-11 00:00:00,123,0.47,3,8.68,Healthy
2023-01-12 00:00:00,153,1.44,0,30.05,Healthy
2023-01-13 00:00:00,147,0.8,2,15.82,Healthy
2023-01-14 00:00:00,113,0.19,0,24.12,Healthy
2023-01-15 00:00:00,137,0.53,2,0,Healthy
2023-01-16 00:00:00,138,4.31,2,23.25,Healthy
2023-01-17 00:00:00,126,0.12,0,16.16,Healthy
2023-01-18 00:00:00,145,1.79,0,32.14,Healthy
2023-01-19 00:00:00,147,0.93,0,41.99,Healthy
2023-01-20 00:00:00,149,1.41,1,29.95,Healthy
2023-01-21 00:00:00,118,0,0,13.84,Healthy
2023-01-22 00:00:00,102,0.57,0,22.07,Healthy
2023-01-23 00:00:00,144,3.88,4,99.49,Drift Detected
2023-01-24 00:00:00,141,3.33,1,37.88,Healthy
2023-01-25 00:00:00,136,0,0,24.42,Healthy
2023-01-26 00:00:00,134,0.41,4,28.8,Healthy
2023-01-27 00:00:00,158,1.1,2,38.2,Healthy
2023-01-28 00:00:00,125,1.31,3,0,Healthy
2023-01-29 00:00:00,111,2.73,0,8.65,Healthy
2023-01-30 00:00:00,148,1.05,14,17.17,Anomaly Detected
2023-01-31 00:00:00,128,0.95,0,14.35,Healthy
2023-02-01 00:00:00,136,2.06,1,17.2,Healthy
2023-02-02 00:00:00,122,0.78,2,26.33,Healthy
2023-02-03 00:00:00,141,0.47,2,40.81,Healthy
2023-02-04 00:00:00,111,1.12,2,43.31,Healthy
2023-02-05 00:00:00,111,1.25,2,16.57,Healthy
2023-02-06 00:00:00,185,3.03,1,43.09,Healthy
2023-02-07 00:00:00,128,1.32,4,42.33,Healthy
2023-02-08 00:00:00,144,4.54,0,0,Healthy
2023-02-09 00:00:00,149,0.96,0,8.37,Healthy
2023-02-10 00:00:00,139,0.51,2,16.93,Healthy
2023-02-11 00:00:00,125,0.84,1,44.95,Healthy
2023-02-12 00:00:00,123,4.71,2,31.38,Healthy
2023-02-13 00:00:00,131,1.1,2,41.21,Healthy
2023-02-14 00:00:00,125,0.8,2,5.78,Healthy
2023-02-15 00:00:00,154,1.7,0,24.31,Healthy
2023-02-16 00:00:00,143,0.23,5,26.11,Healthy
2023-02-17 00:00:00,136,1.59,3,28.32,Healthy
2023-02-18 00:00:00,113,0.9,11,101.11,Anomaly + Drift
2023-02-19 00:00:00,127,0.34,2,273.56,Drift Detected
2023-02-20 00:00:00,136,0,17,2.54,Anomaly Detected
2023-02-21 00:00:00,139,1.43,0,17.03,Healthy
2023-02-22 00:00:00,172,0.81,1,1.16,Healthy
2023-02-23 00:00:00,161,1.11,3,3.77,Healthy
2023-02-24 00:00:00,141,1.28,3,32.49,Healthy
2023-02-25 00:00:00,114,0,1,21.88,Healthy
2023-02-26 00:00:00,111,1.08,1,25.45,Healthy
2023-02-27 00:00:00,162,0.28,0,20.08,Healthy
2023-02-28 00:00:00,153,0.04,2,24.96,Healthy
2023-03-01 00:00:00,126,3.54,2,16.59,Healthy
2023-03-02 00:00:00,135,0.77,1,33.55,Healthy
2023-03-03 00:00:00,156,1.38,11,111.33,Anomaly + Drift
2023-03-04 00:00:00,114,0.94,2,6.87,Healthy
2023-03-05 00:00:00,139,0.47,3,45.42,Healthy
2023-03-06 00:00:00,149,0,0,23.0,Healthy
2023-03-07 00:00:00,147,0.44,2,25.88,Healthy
2023-03-08 00:00:00,153,1.08,1,23.07,Healthy
2023-03-09 00:00:00,133,1.35,20,152.4,Anomaly + Drift
2023-03-10 00:00:00,153,1.12,0,34.98,Healthy
2023-03-11 00:00:00,120,0.31,2,17.67,Healthy
2023-03-12 00:00:00,106,1.41,1,18.95,Healthy
2023-03-13 00:00:00,144,1.01,1,9.81,Healthy
2023-03-14 00:00:00,152,0.58,5,0,Healthy
2023-03-15 00:00:00,152,4.88,5,91.67,Drift Detected
2023-03-16 00:00:00,161,1.17,0,47.6,Healthy
2023-03-17 00:00:00,168,0.78,3,17.2,Healthy
2023-03-18 00:00:00,108,0.55,3,33.38,Healthy
2023-03-19 00:00:00,122,1.01,3,18.14,Healthy
2023-03-20 00:00:00,139,1.1,0,199.54,Drift Detected
2023-03-21 00:00:00,146,0.64,14,50.08,Anomaly Detected
2023-03-22 00:00:00,167,0.66,0,18.8,Healthy
2023-03-23 00:00:00,170,0.27,2,37.74,Healthy
2023-03-24 00:00:00,131,1.08,1,19.55,Healthy
2023-03-25 00:00:00,131,0.94,2,37.89,Healthy
2023-03-26 00:00:00,116,2.01,2,0,Healthy
2023-03-27 00:00:00,150,0.45,0,25.81,Healthy
2023-03-28 00:00:00,167,0.31,1,21.68,Healthy
2023-03-29 00:00:00,138,0.75,3,34.68,Healthy
2023-03-30 00:00:00,159,0.94,2,38.89,Healthy
2023-03-31 00:00:00,147,1.07,2,39.24,Healthy
2023-04-01 00:00:00,131,1.43,1,33.02,Healthy
2023-04-02 00:00:00,120,0.3,1,53.59,Healthy
2023-04-03 00:00:00,159,1.02,0,29.51,Healthy
2023-04-04 00:00:00,152,0.27,6,2.56,Anomaly Detected
2023-04-05 00:00:00,137,0.26,1,33.93,Healthy
2023-04-06 00:00:00,149,0.17,0,26.99,Healthy
2023-04-07 00:00:00,167,0.89,15,26.91,Anomaly Detected
2023-04-08 00:00:00,140,0.88,2,26.41,Healthy
2023-04-09 00:00:00,134,0.15,2,28.6,Healthy
2023-04-10 00:00:00,149,4.48,2,35.25,Healthy
2023-04-11 00:00:00,144,0.63,3,4.53,Healthy
2023-04-12 00:00:00,156,0.73,11,3.04,Anomaly Detected
2023-04-13 00:00:00,124,0.24,1,25.98,Healthy
2023-04-14 00:00:00,133,0.93,0,11.85,Healthy
2023-04-15 00:00:00,139,1.05,2,12.24,Healthy
2023-04-16 00:00:00,123,1.97,0,25.41,Healthy
2023-04-17 00:00:00,162,0.71,0,7.35,Healthy
2023-04-18 00:00:00,154,1.24,2,12.57,Healthy
2023-04-19 00:00:00,162,0.56,4,18.78,Healthy
2023-04-20 00:00:00,158,1.33,5,20.5,Healthy
2023-04-21 00:00:00,167,1.44,0,21.38,Healthy
2023-04-22 00:00:00,139,0.75,3,14.14,Healthy
2023-04-23 00:00:00,136,0.5,3,15.31,Healthy
2023-04-24 00:00:00,148,1.21,1,22.52,Healthy
2023-04-25 00:00:00,141,1.32,1,30.15,Healthy
2023-04-26 00:00:00,142,0.64,19,33.74,Anomaly Detected
2023-04-27 00:00:00,144,0.63,1,34.28,Healthy
2023-04-28 00:00:00,148,0.93,1,115.99,Drift Detected
2023-04-29 00:00:00,152,4.45,0,17.42,Healthy
2023-04-30 00:00:00,133,0.52,0,34.31,Healthy
2023-05-01 00:00:00,140,0.53,1,22.86,Healthy
2023-05-02 00:00:00,154,0.85,0,20.96,Healthy
2023-05-03 00:00:00,151,1.24,2,3.97,Healthy
2023-05-04 00:00:00,158,1.11,3,3.48,Healthy
2023-05-05 00:00:00,149,0.44,0,10.74,Healthy
2023-05-06 00:00:00,131,1.88,3,42.83,Healthy
2023-05-07 00:00:00,124,0.18,7,12.3,Anomaly Detected
2023-05-08 00:00:00,156,0.77,1,49.98,Healthy
2023-05-09 00:00:00,150,1.88,1,41.84,Healthy
2023-05-10 00:00:00,137,0.91,1,22.84,Healthy
2023-05-11 00:00:00,128,0.95,2,254.55,Drift Detected
2023-05-12 00:00:00,160,0.9,1,34.86,Healthy
2023-05-13 00:00:00,134,0,1,30.31,Healthy
2023-05-14 00:00:00,158,0.35,2,7.17,Healthy
2023-05-15 00:00:00,149,0.44,0,38.26,Healthy
2023-05-16 00:00:00,159,1.07,0,39.11,Healthy
2023-05-17 00:00:00,136,1.28,0,25.47,Healthy
2023-05-18 00:00:00,141,1.41,0,26.84,Healthy
2023-05-19 00:00:00,151,4.99,2,8.5,Healthy
2023-05-20 00:00:00,126,1.53,1,17.73,Healthy
2023-05-21 00:00:00,104,1.15,0,18.41,Healthy
2023-05-22 00:00:00,141,0.84,3,38.42,Healthy
2023-05-23 00:00:00,139,3.19,4,13.78,Healthy
2023-05-24 00:00:00,153,1.49,13,212.43,Anomaly + Drift
2023-05-25 00:00:00,160,1.01,4,22.86,Healthy
2023-05-26 00:00:00,148,0.96,2,20.3,Healthy
2023-05-27 00:00:00,126,4.47,1,244.47,Drift Detected
2023-05-28 00:00:00,135,0.78,0,34.83,Healthy
2023-05-29 00:00:00,158,1.64,2,0,Healthy
2023-05-30 00:00:00,157,3.7,1,7.04,Healthy
2023-05-31 00:00:00,153,0.89,12,185.58,Anomaly + Drift
2023-06-01 00:00:00,135,0.27,1,5.83,Healthy
2023-06-02 00:00:00,125,1.15,0,28.6,Healthy
2023-06-03 00:00:00,114,0.63,3,15.86,Healthy
2023-06-04 00:00:00,112,1.26,2,25.37,Healthy
2023-06-05 00:00:00,148,0.11,1,35.69,Healthy
2023-06-06 00:00:00,140,1.19,2,13.89,Healthy
2023-06-07 00:00:00,145,1.07,0,20.21,Healthy
2023-06-08 00:00:00,153,0.01,1,4.02,Healthy
2023-06-09 00:00:00,139,0.76,1,33.47,Healthy
2023-06-10 00:00:00,120,1.25,19,209.38,Anomaly + Drift
2023-06-11 00:00:00,128,1.31,1,0,Healthy
2023-06-12 00:00:00,148,0.88,1,12.09,Healthy
2023-06-13 00:00:00,132,0.85,3,31.73,Healthy
2023-06-14 00:00:00,139,0.28,14,30.91,Anomaly Detected
2023-06-15 00:00:00,148,0.84,0,15.32,Healthy
2023-06-16 00:00:00,148,0.88,3,3.61,Healthy
2023-06-17 00:00:00,137,0.61,2,5.49,Healthy
2023-06-18 00:00:00,135,0,4,1.25,Healthy
2023-06-19 00:00:00,150,0.58,2,46.92,Healthy
2023-06-20 00:00:00,157,0.95,4,12.98,Healthy
2023-06-21 00:00:00,143,0.05,5,30.6,Healthy
2023-06-22 00:00:00,151,1.28,4,11.15,Healthy
2023-06-23 00:00:00,135,0.14,0,34.33,Healthy
2023-06-24 00:00:00,124,0.58,3,27.38,Healthy
2023-06-25 00:00:00,110,1.3,13,228.28,Anomaly + Drift
2023-06-26 00:00:00,155,0.25,0,13.7,Healthy
2023-06-27 00:00:00,124,1.08,1,23.22,Healthy
2023-06-28 00:00:00,165,1.45,1,21.75,Healthy
2023-06-29 00:00:00,133,1.01,1,30.18,Healthy
2023-06-30 00:00:00,136,1.37,2,24.51,Healthy
2023-07-01 00:00:00,116,1.58,2,12.99,Healthy
2023-07-02 00:00:00,127,1.16,0,33.82,Healthy
2023-07-03 00:00:00,136,1.25,0,0,Healthy
2023-07-04 00:00:00,134,0.24,1,32.14,Healthy
2023-07-05 00:00:00,147,1.98,2,26.27,Healthy
2023-07-06 00:00:00,157,1.31,3,24.98,Healthy
2023-07-07 00:00:00,148,1.16,2,0,Healthy
2023-07-08 00:00:00,109,1.0,0,25.94,Healthy
2023-07-09 00:00:00,106,0.99,0,27.14,Healthy
2023-07-10 00:00:00,173,0.33,0,33.59,Healthy
2023-07-11 00:00:00,149,0,0,0,Healthy
2023-07-12 00:00:00,159,1.38,2,10.86,Healthy
2023-07-13 00:00:00,148,1.23,0,96.45,Drift Detected
2023-07-14 00:00:00,143,0.94,6,285.13,Anomaly + Drift
2023-07-15 00:00:00,129,0.19,1,47.64,Healthy
2023-07-16 00:00:00,132,1.4,9,240.44,Anomaly + Drift
2023-07-17 00:00:00,130,0.47,2,29.16,Healthy
2023-07-18 00:00:00,137,0.67,0,17.55,Healthy
2023-07-19 00:00:00,138,3.38,0,13.62,Healthy
2023-07-20 00:00:00,127,1.4,1,50.23,Healthy
2023-07-21 00:00:00,143,3.47,1,8.84,Healthy
2023-07-22 00:00:00,121,1.53,2,14.51,Healthy
2023-07-23 00:00:00,111,1.41,3,20.08,Healthy
2023-07-24 00:00:00,153,1.39,11,239.34,Anomaly + Drift
2023-07-25 00:00:00,104,0.65,2,12.88,Healthy
2023-07-26 00:00:00,145,0,0,43.67,Healthy
2023-07-27 00:00:00,149,0.5,0,22.49,Healthy
2023-07-28 00:00:00,146,4.01,0,19.53,Healthy
2023-07-29 00:00:00,124,0.56,3,19.55,Healthy
2023-07-30 00:00:00,123,0,6,27.24,Anomaly Detected
2023-07-31 00:00:00,138,0.21,4,33.95,Healthy
2023-08-01 00:00:00,148,0.98,2,8.57,Healthy
2023-08-02 00:00:00,145,0.27,0,6.63,Healthy
2023-08-03 00:00:00,128,0.58,1,8.15,Healthy
2023-08-04 00:00:00,135,0.77,3,15.08,Healthy
2023-08-05 00:00:00,141,1.5,4,16.35,Healthy
2023-08-06 00:00:00,117,1.05,0,0,Healthy
2023-08-07 00:00:00,128,0.53,0,14.89,Healthy
2023-08-08 00:00:00,135,1.37,16,40.96,Anomaly Detected
2023-08-09 00:00:00,141,0.77,14,18.68,Anomaly Detected
2023-08-10 00:00:00,121,2.0,3,16.53,Healthy
2023-08-11 00:00:00,125,0.94,0,0,Healthy
2023-08-12 00:00:00,126,2.81,2,32.62,Healthy
2023-08-13 00:00:00,99,1.78,1,41.88,Healthy
2023-08-14 00:00:00,142,1.1,3,51.1,Healthy
2023-08-15 00:00:00,125,0.13,0,94.77,Drift Detected
2023-08-16 00:00:00,126,0.16,0,11.44,Healthy
2023-08-17 00:00:00,124,0.49,5,17.33,Healthy
2023-08-18 00:00:00,126,2.65,0,22.93,Healthy
2023-08-19 00:00:00,108,1.54,2,20.86,Healthy
2023-08-20 00:00:00,105,0.63,2,28.32,Healthy
2023-08-21 00:00:00,123,1.26,2,32.52,Healthy
2023-08-22 00:00:00,127,1.58,0,288.23,Drift Detected
