date,transaction_id,amount,account_age,status
2025-11-24,TXN-10000,2206.96,1004,pending
2025-03-13,TXN-10001,2047.31,3017,completed
2025-12-13,TXN-10002,1141.13,2419,reversed
2025-01-17,TXN-10003,197.25,123,completed
2025-04-22,TXN-10004,1318.08,2299,pending
2025-11-29,TXN-10005,2279.53,2873,reversed
2025-04-23,TXN-10006,586.65,3561,completed
2025-03-23,TXN-10007,1402.67,2860,reversed
2025-06-24,TXN-10008,1102.94,3128,failed
2025-02-22,TXN-10009,1748.58,380,reversed
2025-02-19,TXN-10010,735.42,1084,completed
2025-08-24,TXN-10011,1768.97,2197,completed
2025-07-13,TXN-10012,1786.4,2575,failed
2025-10-23,TXN-10013,1516.64,788,completed
2025-01-24,TXN-10014,470.99,327,pending
2025-02-21,TXN-10015,30.85,1557,failed
2025-08-21,TXN-10016,698.41,1517,failed
2025-04-18,TXN-10017,626.1,2746,failed
2025-12-26,TXN-10018,2265.75,2496,pending
2025-10-01,TXN-10019,751.91,2987,pending
2025-03-25,TXN-10020,583.14,2622,pending
2025-12-17,TXN-10021,1349.08,1329,completed
2025-04-28,TXN-10022,1830.74,1644,failed
2025-02-03,TXN-10023,-101.91,865,failed
2025-04-19,TXN-10024,750.56,2634,reversed
2025-03-15,TXN-10025,534.74,1085,pending
2025-05-07,TXN-10026,1168.66,3060,reversed
2025-10-26,TXN-10027,204.95,1636,failed
2025-04-23,TXN-10028,1636.48,2022,completed
2025-01-25,TXN-10029,1192.67,3528,completed
2025-03-20,TXN-10030,212.94,1730,completed
2025-07-17,TXN-10031,182.12,1564,reversed
2025-09-28,TXN-10032,1190.98,48,completed
2025-12-16,TXN-10033,2215.49,3625,failed
2025-11-25,TXN-10034,842.05,648,reversed
2025-01-02,TXN-10035,1762.66,2958,failed
2025-09-14,TXN-10036,1271.51,436,failed
2025-11-24,TXN-10037,250.3,2080,pending
2025-03-20,TXN-10038,866.49,3190,completed
2025-11-03,TXN-10039,1538.09,1328,reversed
2025-01-10,TXN-10040,1779.68,3407,failed
2025-05-03,TXN-10041,1691.12,238,pending
2025-10-18,TXN-10042,1519.92,1991,completed
2025-09-30,TXN-10043,1089.23,3137,pending
2025-03-07,TXN-10044,158.94,677,failed
2025-09-28,TXN-10045,-434.78,3574,reversed
2025-04-19,TXN-10046,2410.6,2826,pending
2025-06-09,TXN-10047,620.21,1635,failed
2025-08-13,TXN-10048,1908.06,1016,pending
2025-02-02,TXN-10049,682.94,1385,completed
2025-10-29,TXN-10050,194.58,30,completed
2025-12-29,TXN-10051,845.71,2585,completed
2025-04-28,TXN-10052,1384.27,1354,completed
2025-09-21,TXN-10053,1283.06,975,failed
2025-12-09,TXN-10054,208.27,2963,reversed
2025-05-05,TXN-10055,1291.14,3214,reversed
2025-07-28,TXN-10056,1332.12,1766,failed
2025-08-05,TXN-10057,1536.23,1684,reversed
2025-01-28,TXN-10058,133.18,404,completed
2025-07-26,TXN-10059,-841.62,2983,failed
2025-02-25,TXN-10060,1204.39,1838,pending
2025-08-05,TXN-10061,1719.65,752,failed
2025-08-25,TXN-10062,1202.2,1816,completed
2025-01-26,TXN-10063,3012.81,2672,completed
2025-02-17,TXN-10064,2591.3,682,reversed
2025-09-06,TXN-10065,506.08,1972,pending
2025-07-25,TXN-10066,1592.49,9,reversed
2025-05-16,TXN-10067,923.94,3212,reversed
2025-05-27,TXN-10068,-578.69,3209,reversed
2025-03-21,TXN-10069,2134.52,778,failed
2025-04-22,TXN-10070,2232.29,2221,completed
2025-06-10,TXN-10071,994.39,235,completed
2025-10-27,TXN-10072,-576.26,2176,pending
2025-01-30,TXN-10073,1460.91,2081,completed
2025-04-06,TXN-10074,1472.75,3531,pending
2025-07-26,TXN-10075,1325.27,492,pending
2025-10-24,TXN-10076,278.45,1718,failed
2025-05-14,TXN-10077,577.77,837,failed
2025-05-03,TXN-10078,1158.49,2644,failed
2025-08-23,TXN-10079,1621.69,1296,completed
2025-01-05,TXN-10080,-1580.0,410,completed
2025-10-03,TXN-10081,1945.8,874,failed
2025-03-09,TXN-10082,2707.23,3602,pending
2025-07-09,TXN-10083,528.1,1168,pending
2025-08-13,TXN-10084,1826.55,2506,completed
2025-12-08,TXN-10085,121.24,3347,failed
2025-12-06,TXN-10086,2505.82,1084,completed
2025-02-24,TXN-10087,2194.45,3041,pending
2025-05-20,TXN-10088,1090.94,1405,pending
2025-12-18,TXN-10089,1739.31,2598,failed
2025-09-16,TXN-10090,-532.59,3466,completed
2025-02-17,TXN-10091,1325.06,2599,reversed
2025-05-22,TXN-10092,1893.24,536,failed
2025-03-24,TXN-10093,1397.1,3037,reversed
2025-10-10,TXN-10094,917.78,459,completed
2025-12-20,TXN-10095,213.16,611,completed
2025-07-09,TXN-10096,806.57,523,completed
2025-06-07,TXN-10097,975.56,1494,completed
2025-07-03,TXN-10098,1350.46,422,failed
2025-10-14,TXN-10099,1787.19,3622,reversed
2025-11-14,TXN-10100,1194.01,970,pending
2025-04-01,TXN-10101,-624.45,3611,reversed
2025-01-13,TXN-10102,1980.87,3205,reversed
2025-12-09,TXN-10103,2842.27,3540,pending
2025-05-17,TXN-10104,1871.64,1567,completed
2025-08-29,TXN-10105,2246.64,912,pending
2025-08-24,TXN-10106,331.0,3569,pending
2025-04-25,TXN-10107,2401.5,97,pending
2025-07-24,TXN-10108,444.99,3168,failed
2025-06-29,TXN-10109,2609.61,2628,reversed
2025-12-14,TXN-10110,2184.75,114,completed
2025-05-14,TXN-10111,1082.82,732,failed
2025-01-20,TXN-10112,1863.67,2985,failed
2025-08-12,TXN-10113,1737.91,2484,completed
2025-07-17,TXN-10114,1619.31,182,reversed
2025-01-01,TXN-10115,893.36,2130,pending
2025-07-06,TXN-10116,-571.95,1353,failed
2025-12-06,TXN-10117,2016.24,3474,completed
2025-06-03,TXN-10118,14.98,1337,reversed
2025-12-23,TXN-10119,1146.93,1212,pending
2025-04-09,TXN-10120,-467.3,2775,pending
